Video name,Video link,Video post date,Creator username,GMV,Affiliate items sold ,Affiliate shoppable video GMV,Shoppable video avg. order value,Est. commission,Est. flat fee,Affiliate orders,Shoppable video impressions,Affiliate CTR,Shoppable video GPM,Affiliate items refunded,Affiliate refunded GMV,Shoppable video comments,Shoppable video likes
Dale vida a tus labios con un toque frutal #LabiosBrillantes #BrilloDeLabios #GlassLips #ColorgramTint #LabiosJugosos #tintedelabios💋 ,https://www.tiktok.com/@mariluna1050/video/7517736672700681486,2025-06-19,mariluna1050,0,0,0,--,0,--,0,7,0.00%,0,0,0,0,0
#tiktokshopcreatorpicks ,https://www.tiktok.com/@anita_love310/video/7518403051300850958,2025-06-21,anita_love310,0,0,0,--,0,--,0,1,0.00%,0,0,0,0,0
Sun-kissed lips by @COLORGRAM OFFICIAL @4am.kr  #sunkissedlips❤️‍🔥 #sunkissedmakeup #summervibes #islandgirlmakeup #glowup #glowymakeup #summermakeup #lipcombo #lipstain #colorgram #colorgramgirls #colorgramglowup #colorgramliptint #fruityglasstint #nudeblurtint  Summer osnak,https://www.tiktok.com/@bravelovewithjudy/video/7518412638578117918,2025-06-21,bravelovewithjudy,0,0,0,--,0,--,0,15,0.00%,0,0,0,0,1
My new fav Lippie 🥰👄💄@COLORGRAM OFFICIAL  #lipgloss#lipplumper#kbeauty#liptint#fypシ #colorgram #colorchanging ,https://www.tiktok.com/@caleajane_/video/7518604331600317727,2025-06-21,caleajane_,0,0,0,--,0,--,0,69,7.55%,0,0,0,0,1
My last step to sunkissed make up 💋 @COLORGRAM OFFICIAL @4am.kr ,https://www.tiktok.com/@abhythereforyou/video/7518930605669633335,2025-06-22,abhythereforyou,0,0,0,--,0,--,0,6,0.00%,0,0,0,1,1
This highlighter is so good #highlighter #makeup #colorgram ,https://www.tiktok.com/@nancyslife90/video/7519521482188279070,2025-06-24,nancyslife90,0,0,0,--,0,--,0,368,2.94%,0,0,0,2,2
Looks so good #highlighter #colorgram #makeup ,https://www.tiktok.com/@nancyslife90/video/7519599833708104990,2025-06-24,nancyslife90,0,0,0,--,0,--,0,11,14.29%,0,0,0,0,0
@COLORGRAM OFFICIAL #makeup #beauty #lipstain #liptint #lipgloss #kbeeauty ,https://www.tiktok.com/@hellozarri/video/7519662008174759182,2025-06-24,hellozarri,0,0,0,--,0,--,0,1564,1.71%,0,0,0,1,4
It’s giving bubbles from the Powerpuff Girls #highlight #colorgram #bubbleblue,https://www.tiktok.com/@danyasol/video/7519744068633496887,2025-06-24,danyasol,0,0,0,--,0,--,0,11,0.00%,0,0,0,0,0
,https://www.tiktok.com/@danyasol/video/7519746395465583927,2025-06-24,danyasol,0,0,0,--,0,--,0,6,0.00%,0,0,0,0,0
Pretty and pink. #colorgram #fyp ,https://www.tiktok.com/@danyasol/video/7519746914544405774,2025-06-24,danyasol,0,0,0,--,0,--,0,288,2.15%,0,0,0,0,1
The packaging is so cutesy as well!! @COLORGRAM OFFICIAL @4am.kr  #sunkissedlips #sunkissedmakeup #summervibes #islandgirlmakeup #glowup #glowymakeup #summermakeup #lipcombo #lipstain #colorgram #colorgramgirls #colorgramglowup #colorgramliptint #fruityglasstint #nudeblurtint #glosstostain,https://www.tiktok.com/@ella.holzhei/video/7519862452822084894,2025-06-25,ella.holzhei,0,0,0,--,0,--,0,45,0.00%,0,0,0,0,0
keeping my lips glossy + ready all summer — @COLORGRAM OFFICIAL @4am.kr 💋☀️ #colorgramambassador  (LIP COMBO DETAILS) 1. Nude Blur Tint 07 2. Fruity Glass Tint 07 3. Fruity Glass Tint 1004 #sunkissedlips #sunkissedmakeup #summervibes #islandgirlmakeup #glowup #glowymakeup #summermakeup #lipcombo #lipstain #colorgram #colorgramgirls #colorgramglowup #colorgramliptint #fruityglasstint #nudeblurtint #glosstostain #amazonprimeday #primedayfinds #primedaydeals #amazonmusthaves #amazonbeauty,https://www.tiktok.com/@itskathleenngo/video/7520440179119623454,2025-06-26,itskathleenngo,0,0,0,--,0,--,0,29,7.69%,0,0,0,0,0
#fyp #idle #gidle #miyeon #miyeongidle #kpop ,https://www.tiktok.com/@plutomimi/video/7520472843730144525,2025-06-26,plutomimi,0,0,0,--,0,--,0,2054,10.70%,0,0,0,0,30
Lip Swatch of Nude Blur Tint @COLORGRAM OFFICIAL with ASMR sound effects  #colorgram #nudeblurtint #summervibes #grwm #lippieoftheday #fyp #asmr #soundeffects ,https://www.tiktok.com/@abhythereforyou/video/7520757057193053454,2025-06-27,abhythereforyou,0,0,0,--,0,--,0,20,0.00%,0,0,0,0,1
,https://www.tiktok.com/@danyasol/video/7521036806645615927,2025-06-28,danyasol,0,0,0,--,0,--,0,34,14.29%,0,0,0,0,0
- @colorgram.official @4am.kr - #sunkissedlips #sunkissedmakeup #summervibes #islandgirlmakeup #glowup #glowymakeup #summermakeup #lipcombo #lipstain #colorgram #colorgramgirls #colorgramglowup #colorgramliptint #fruityglasstint #nudeblurtint #glosstostain,https://www.tiktok.com/@shadiaosman0/video/7521409155995847949,2025-06-29,shadiaosman0,0,0,0,--,0,--,0,193,6.57%,0,0,0,0,3
